Date_Local,Hour_Local,Temp,Snow_Depth,Hourly_Snow,RH,Gust,Wind_Dir,Wind_Speed,Pres,Datetime_UTC
11/15/23,21,16.25,0.0,0.0,20.8,9.68,S,4.363,20.19492,2023-11-16 04:00:00+00:00
11/15/23,22,15.36,0.0,0.0,22.2,8.46,SW,4.453,20.191967,2023-11-16 05:00:00+00:00
11/15/23,23,14.45,0.0,0.0,26.5,10.71,WNW,2.287,20.197874,2023-11-16 06:00:00+00:00
11/16/23,0,13.11,0.0,0.0,31.3,12.84,WNW,3.41,20.174248,2023-11-16 07:00:00+00:00
11/16/23,1,12.2,0.0,0.0,37.1,11.27,WSW,3.371,20.180153,2023-11-16 08:00:00+00:00
11/16/23,2,13.11,0.0,0.0,38.9,14.5,W,3.717,20.180153,2023-11-16 09:00:00+00:00
11/16/23,3,19.84,0.0,0.0,49.6,15.766,W,4.36,20.18606,2023-11-16 10:00:00+00:00
11/16/23,4,21.2,0.0,0.0,53.3,14.69,WSW,4.15,20.156527,2023-11-16 11:00:00+00:00
11/16/23,5,21.66,0.0,0.0,57.1,13.11,WSW,4.19,20.14176,2023-11-16 12:00:00+00:00
11/16/23,6,17.6,0.0,0.0,53.9,13.1,WSW,3.537,20.129948,2023-11-16 13:00:00+00:00
11/16/23,7,24.8,0.0,0.00512,60.3,13.38,SSW,3.486,20.144714,2023-11-16 14:00:00+00:00
11/16/23,8,34.25,0.0,0.04688,74.6,24.1,SW,2.957,20.156527,2023-11-16 15:00:00+00:00
